10000 100000
2938 2223 1
3754 6511 5
175 1459 3
3221 7870 2
1934 5205 3
3850 7398 5
2701 2193 1
1637 6534 5
1993 176 1
6962 548 5
300 4413 2
9855 4855 3
1462 7611 0
424 2678 2
8443 8296 3
40 9313 0
72 2818 1
1017 4932 0
695 3169 3
40 6488 6
9090 9497 6
5990 5145 5
9314 8651 0
2044 1258 6
8759 1192 3
5264 2181 6
3829 3775 0
9292 5997 0
9556 5561 1
6467 9541 5
1240 7813 5
601 6077 6
8683 8213 3
5824 5601 5
5759 2670 3
8027 4084 2
8786 5498 1
6287 3847 5
503 1221 4
5706 2363 1
2171 7489 5
2164 5542 3
913 7591 5
1818 9232 1
5205 4975 6
303 1422 0
1247 3584 5
2971 7864 2
1075 1545 5
7546 8678 5
5262 8519 6
8289 5944 2
8540 3245 0
8318 7870 4
8323 1132 0
7152 5087 3
9763 9901 2
4423 3527 1
6969 4015 0
28 1543 0
2088 2943 2
2409 6463 2
4681 1588 2
608 2060 4
1758 9954 0
4146 690 4
2843 1430 0
748 7067 0
783 8035 5
5185 7038 4
5629 1224 5
9923 3359 1
4766 4944 3
3318 2726 1
1025 355 5
2549 9496 6
9515 7964 4
8075 7913 0
1196 1948 5
426 4606 0
4429 2404 6
626 9812 6
93 6565 6
4736 9141 0
5994 8256 2
3936 838 0
1355 1015 4
8230 7841 2
2011 2637 0
9690 1650 6
1634 893 0
1416 3452 1
7262 2233 1
6303 6634 4
4256 148 1
2317 4213 5
4028 9200 3
1318 6858 5
4155 1361 4
1903 3676 5
6909 4902 5
8489 4948 1
3653 674 1
5402 6923 2
9369 3878 1
9008 2619 3
3 1945 2
6504 2392 2
5313 6698 3
2722 5938 4
6410 1461 4
2508 9961 4
6493 1515 6
4937 8869 2
4700 3971 0
5117 6215 6
7815 8330 1
212 9288 5
1954 6085 4
4484 4774 1
9815 5951 3
8115 1679 2
5898 3073 4
3977 8132 3
8689 6113 5
2941 5790 1
1363 28 5
4778 7200 3
1885 1974 0
1333 2867 1
4295 2168 0
9676 5629 6
2598 3309 3
4686 80 1
2249 6667 2
6679 7864 0
8405 8826 5
7516 7726 1
9087 7681 0
1340 5686 1
1662 4721 2
9309 415 3
9873 7124 1
2745 1762 3
7531 4806 4
9318 5602 1
4307 3481 4
1136 6630 6
6809 4084 1
2290 1293 1
9152 1054 5
4708 248 1
3712 5131 0
6439 7958 5
9704 6995 2
5269 7479 3
6423 7918 2
7659 2498 3
1196 7462 5
2158 2022 5
8392 3037 5
647 9458 1
807 4098 5
9292 4600 5
799 8352 1
3882 540 0
4575 8762 5
2336 8397 2
9897 5828 5
6816 4230 4
6925 658 5
4520 940 6
5147 5162 3
675 792 3
1754 6398 4
8714 6946 6
9569 8638 6
5075 4515 6
475 5615 4
3234 2570 2
9464 9557 3
4161 524 5
7469 330 3
8350 4333 0
910 9737 5
8337 1278 3
7636 714 3
1591 9949 4
2505 3337 1
6337 2623 6
9970 5608 6
9281 7085 3
8373 8652 4
9876 3826 4
7572 6249 3
9174 8819 5
2611 1941 3
8419 5565 4
7585 6216 6
1615 2609 4
9166 6893 2
3509 300 4
9573 5589 1
1172 7968 2
6031 6268 1
8510 422 2
8779 910 4
4182 5391 4
5764 874 6
4902 8255 1
474 6972 4
6122 5547 3
9789 5605 4
7594 7950 5
754 2481 4
1672 3439 2
5912 9762 3
4408 4415 4
7223 1759 2
5204 9486 0
958 5945 3
8166 8700 6
7692 1787 0
556 974 3
5021 8283 0
9331 2376 2
6948 2723 6
2018 4776 1
1111 2182 0
9490 8925 5
6486 9677 2
1643 7534 4
2668 1068 4
2196 7783 0
7727 9426 2
697 7612 6
1027 1408 1
9508 7185 5
4237 6443 5
2501 8850 5
2111 3650 2
1192 1454 0
681 7465 2
7713 9793 0
5472 972 3
4901 8442 4
3877 5770 2
4364 1381 0
8823 2237 1
2179 6595 2
2327 2042 6
8182 1058 2
9487 1670 6
5651 2258 3
9860 5783 6
2742 8610 6
7128 8434 3
718 3503 6
4865 938 5
9257 2750 5
8598 8458 1
6063 2756 3
278 9489 3
6365 2075 5
1386 7833 2
3330 6048 3
9492 2433 5
6766 1735 0
1599 1837 3
1982 7328 1
1369 1244 3
6608 9252 6
7432 9535 5
3264 3497 3
7649 2015 3
189 6100 2
648 9523 6
4474 8633 1
7200 9854 1
5697 4919 0
2578 2931 1
3340 3487 3
2525 8483 1
7492 6193 0
5011 1560 0
1840 1497 6
8529 1540 3
8791 3392 1
3549 1578 1
971 9277 3
193 1620 0
3826 1276 1
6582 3578 1
418 6489 5
3449 2924 0
380 7008 2
208 6477 2
5370 2607 0
2074 3722 4
9019 8761 3
2890 1163 2
3716 9932 0
2741 4954 2
2862 396 4
615 904 2
136 4680 0
7032 4387 6
7240 3517 3
8670 241 3
5249 3523 6
2105 9621 1
7296 9916 5
178 3579 5
7577 2750 0
3729 4081 6
2678 4676 5
899 1784 4
3093 3608 5
1243 9929 3
168 5055 5
5973 8922 0
5651 986 2
6446 1577 1
4629 9916 1
5791 5469 1
8146 693 5
9815 6949 5
640 6052 5
8551 9487 6
8162 6955 6
8394 180 4
3065 7065 0
9261 2578 1
6878 4140 5
1947 2445 2
9975 3489 5
6149 3333 5
2214 7282 1
7432 8896 1
8522 4882 2
7641 7231 3
6705 6479 0
6538 1351 1
4208 9646 2
5759 189 0
7666 8486 4
2028 9614 2
9253 1777 2
2503 861 3
9082 2455 1
2106 8752 1
7296 6281 2
4455 5947 6
8318 9135 1
1774 9859 1
2074 9253 6
635 1643 6
8153 3232 1
8680 9926 2
6450 4801 6
4199 855 1
5716 573 5
3245 6473 1
1550 4353 5
4287 2699 1
8643 7465 4
2529 9981 5
3476 4381 1
6890 6671 6
2372 32 6
9320 3165 3
9658 1293 0
6578 6948 1
7171 8166 1
6697 1020 6
5529 4788 2
7984 1969 5
1617 4015 1
3684 9168 0
5928 2097 6
4390 5199 4
4486 9199 2
710 8271 0
7415 6085 3
3580 1331 1
8387 3444 2
4507 4360 5
8074 6431 5
271 268 3
9885 337 0
7604 2677 0
7768 9022 2
5000 542 2
38 1388 5
3289 1647 3
3093 6584 4
761 493 6
9501 7482 5
5665 753 5
5084 9095 1
221 3964 4
4872 8106 2
3343 2593 4
6080 4868 5
3713 968 3
7216 2079 5
7040 1531 4
3779 663 2
6653 7936 2
4365 1874 6
6835 5680 2
8455 5725 4
4808 3559 0
5602 7832 2
440 7375 2
2885 1962 3
1836 797 3
508 80 6
2076 9058 0
7740 8546 6
4773 9097 4
3335 1072 6
707 2955 2
4141 3588 0
7168 8315 6
6225 1009 4
8136 1455 2
5043 742 0
7922 4512 1
6018 7368 1
9714 7650 4
3335 2759 5
1895 5303 2
1979 4199 6
4791 8661 1
3652 8753 2
2029 5987 0
6253 83 3
5814 2718 1
1063 7229 2
8864 4769 6
5005 1047 5
1487 4326 0
1323 6540 0
3990 2588 0
9271 7945 3
8470 183 6
3955 4978 6
5006 3262 3
3487 7196 4
2088 2935 4
5993 4790 0
8965 1001 2
1807 4567 2
3134 2671 1
2998 3545 3
4218 8838 4
7372 8563 0
9264 8801 2
3490 7604 3
4227 1197 4
9771 363 6
2363 7721 2
7421 3445 4
495 6741 0
1812 9151 6
8055 3393 2
5279 9882 5
2654 3822 3
4245 1338 4
2290 1339 5
4604 4623 0
78 1724 5
2330 9733 6
594 9130 2
4987 9445 3
8616 5750 0
7338 1963 2
4697 2209 0
3224 1908 4
4474 1920 2
293 3855 0
9561 1056 5
8184 7075 4
4119 6741 3
4684 2779 1
8283 667 1
4125 4118 4
8028 2119 4
737 4091 4
2795 6060 5
8793 3432 1
4580 4875 6
1184 8074 4
6790 476 4
3351 8329 1
2974 3072 0
2189 5787 4
3239 4893 1
7063 681 3
7005 4176 6
1695 6139 2
3998 1083 0
9515 7621 5
5826 5722 3
4828 2581 4
8978 1891 1
6943 4834 5
7349 2702 6
502 5141 5
8346 5891 4
8413 1400 3
1690 3162 3
9126 9410 4
1382 6260 1
6705 3874 3
722 2195 5
6360 6038 3
7811 8245 3
2425 6867 1
542 3063 1
502 9617 6
5023 7226 4
48 1051 2
8636 9458 4
8456 9405 2
9962 6819 2
556 7531 2
8044 591 0
3388 8915 2
2319 6272 3
9383 133 4
4642 3569 2
7954 2078 1
2257 5333 4
490 103 4
7233 722 2
9611 8990 0
1641 3258 0
2352 9658 3
5302 2683 6
2 5568 5
6895 6135 4
2361 6742 4
3699 3188 4
4042 1357 1
1847 7469 0
4380 1913 5
5710 61 3
73 7504 5
2703 8102 2
5154 3529 3
2074 9149 6
2244 844 1
4118 4065 1
9552 8773 4
9731 6747 0
5869 4398 5
7103 7352 3
8053 3043 4
1088 1563 4
9850 7022 2
1911 9492 2
8580 5477 1
9876 9178 5
4615 2348 2
2179 1635 1
2883 1662 2
8262 9420 2
9022 9273 4
2686 8888 4
1717 1892 6
1267 1749 2
389 6932 6
6081 2003 3
3028 8631 1
3152 8630 6
9864 6407 3
5428 9681 3
6610 6177 5
5236 6459 0
6840 7633 3
3893 2630 2
2993 8782 3
7461 8290 6
2307 997 1
8423 8890 1
6640 8703 1
4883 3661 0
8245 386 3
2765 9601 5
7209 1497 4
9250 8058 0
175 581 5
3271 4287 6
2504 4979 3
700 530 4
2118 205 1
8828 4459 2
4398 3760 1
2935 481 3
9567 8493 1
9161 7746 3
7670 538 0
1555 4917 5
6760 5752 3
5433 2255 1
726 2401 3
2759 393 0
7273 8792 2
2933 137 2
3690 8211 2
4668 2627 1
989 5248 1
1647 1149 5
669 875 6
5449 5436 1
123 1443 2
8154 2861 3
9385 3967 1
1393 6704 4
953 308 6
8684 792 1
48 2469 0
811 9814 4
5427 3743 1
599 6474 6
506 5158 5
9858 7809 4
1447 40 3
9364 7975 5
5089 2503 1
6412 6840 5
4676 5395 4
9986 7651 4
8187 83 1
3390 1250 3
4755 1381 2
5502 4277 6
6424 3565 1
832 885 1
6646 889 3
883 4925 6
1260 5045 2
5821 3855 0
2927 4773 4
7251 2675 1
6334 1001 0
9310 5974 2
356 1071 6
935 2145 6
1825 8718 0
4712 3037 0
9905 7162 2
8692 9539 5
946 9103 5
4115 839 0
829 2645 6
7199 9645 6
675 1862 5
3773 2480 3
6897 3542 5
9203 3277 0
134 1401 6
8382 169 2
7478 7939 5
8721 1426 2
1677 1575 4
5981 7700 2
8862 6002 3
5095 684 6
5137 9507 0
1284 2944 5
821 7058 3
7668 677 0
9857 3041 1
5264 1623 6
8072 7929 1
4715 7615 6
4957 7759 0
3452 5093 0
1829 2448 5
1798 6224 6
2274 8133 2
5038 2170 2
2629 5084 2
4878 6923 2
9400 3024 4
3105 9412 1
5767 5407 2
3784 704 6
9834 891 5
8085 7734 4
542 7998 1
2018 5621 2
2597 1376 6
9669 8108 5
2493 6068 3
9102 2438 0
819 4318 1
4984 6339 1
5808 4632 2
6814 3787 1
8074 5020 5
2554 1988 0
6798 3642 4
6321 104 2
7056 8509 6
7708 9761 2
686 4804 2
142 8842 5
2161 1620 3
9578 1187 1
3063 4591 5
415 656 4
5012 8411 3
6251 8738 0
6124 5507 6
7584 951 1
4489 4958 6
1790 7013 4
4855 1060 2
8472 5402 0
3543 7373 1
7651 5275 3
532 761 2
2503 2729 6
7892 2451 5
8392 2570 2
9472 3407 3
9505 8440 6
4262 1409 5
8038 4360 4
1171 654 1
1514 4523 5
489 6766 2
9756 6632 1
5739 666 3
7283 8160 4
4705 7091 6
5386 1687 2
42 8317 2
2356 3388 0
3154 466 3
7760 6919 4
6738 1267 2
1098 4314 3
3053 4007 5
4216 9722 4
9007 5463 3
947 3793 0
8717 3043 2
5314 6626 2
1334 620 3
6792 8964 2
8866 4693 4
3775 3000 4
1100 7551 3
6379 943 6
3789 361 3
8272 1434 3
9561 5563 0
2946 3888 1
2157 1430 6
6464 4074 6
3837 1981 6
6611 6292 0
3832 7123 0
6991 1461 2
8498 7369 1
8400 4179 2
2317 9914 6
1441 5936 6
7028 1453 0
3973 7981 2
6569 6816 0
5367 5385 3
5230 7157 2
5567 8310 4
3687 3171 5
1245 2764 1
7671 2047 5
4592 7311 2
1405 53 3
580 2740 4
3675 4320 2
3377 998 3
1604 4489 3
9744 8388 3
8718 6919 3
5927 4609 0
1479 2716 0
1396 6853 6
830 4593 6
9849 4854 3
6160 2294 0
6333 146 1
471 428 3
2241 9421 1
6366 2033 1
2270 5329 5
2860 2208 1
2162 2506 4
1979 1897 5
6538 4469 4
7540 2795 0
8633 3509 1
2317 6134 0
8135 2258 3
7843 1693 2
2951 8140 6
2937 5174 6
6097 9551 0
1817 3492 5
237 7530 4
5296 1710 0
5628 5809 2
1744 8840 6
8569 6120 2
6292 4962 4
2527 6807 6
8705 4713 4
8913 6693 1
6203 8995 3
4381 6946 5
1048 1768 3
2511 7954 0
1127 4633 2
1862 5127 4
3817 2340 6
5100 8400 6
1476 3154 1
6430 5831 1
3537 5623 2
2927 8029 6
6211 1754 0
2253 3293 6
785 6528 6
1000 555 3
9270 7452 2
4631 3640 2
8040 7986 1
4248 1539 2
2796 312 3
5052 731 5
4464 2557 3
9556 170 4
7182 7301 0
4099 3332 4
2331 75 1
9050 5026 3
1738 9801 2
3843 441 6
9695 7918 5
1363 2628 1
1088 8854 3
4979 8569 1
7679 7577 5
3402 3115 3
1723 2872 6
323 1153 2
4395 5197 0
2908 7411 0
7665 6781 3
7610 4828 5
7705 8965 5
769 1715 2
1805 3684 1
2145 1840 0
9285 6900 6
3994 6633 4
348 8281 0
6256 9910 1
8982 3901 0
635 7860 5
9527 7137 6
9768 8233 5
9171 7603 4
8011 7879 3
4512 4593 5
4161 3234 3
1926 5906 4
4443 6188 1
2719 6484 2
9093 435 1
8094 3582 5
8627 2005 2
2686 6589 2
8237 2850 6
9578 8956 1
2403 8042 0
5811 5225 3
1595 1016 1
8804 1006 4
1641 335 5
1325 8313 2
2312 4618 5
8396 8339 2
2094 7846 2
1522 2911 5
3455 6358 2
8870 990 2
4327 3413 3
1896 2472 6
7241 4641 4
3525 8213 3
7929 8695 0
2594 7993 6
2187 4640 5
41 8125 4
4860 3000 0
2621 7692 2
5117 7717 5
3943 7893 6
9011 6925 4
9978 748 1
2892 6444 0
3623 4353 3
1547 1346 0
6061 3904 4
7571 6886 4
5299 2056 3
1267 3751 3
9991 8166 5
5846 7093 2
1421 2912 0
8299 2444 0
1201 3328 1
7104 1768 4
6641 6296 6
720 1244 2
9625 1219 0
8174 984 1
3149 7014 4
2503 5032 5
1537 6814 5
4651 1219 0
5917 1683 5
6584 7252 2
1269 6248 6
2397 424 5
27 8148 3
382 9271 5
893 877 6
9104 484 3
1495 6811 5
8892 6798 2
1299 4890 2
9074 1549 5
9314 173 3
9218 6865 5
5238 9911 1
6463 6508 5
3088 2245 1
1920 106 0
2368 6421 5
4157 9647 5
8238 4122 6
906 8706 4
1156 345 3
6923 7118 1
2097 1836 0
3406 4510 4
4651 5880 5
4743 7741 3
4578 4949 5
4514 9785 1
8624 7204 6
3917 6227 2
102 4286 1
1698 8979 5
2489 758 1
775 8410 3
7089 7296 1
3112 122 6
7672 5836 0
5553 3976 2
9085 2652 1
397 9751 0
435 6693 1
7916 6716 2
1511 2125 1
7296 8939 1
1056 2826 1
6758 4588 2
2586 4108 6
2628 1979 4
2549 1280 1
5128 4062 3
4719 677 6
4047 3785 5
7406 8684 2
6769 4709 5
2421 5945 4
6016 1860 5
8335 5190 0
8049 1005 4
3388 8675 4
7377 130 4
6555 2482 4
5000 7754 2
2488 5215 3
1310 940 2
2997 9707 5
304 8237 6
2499 792 3
2612 8682 5
5351 6129 1
5033 6600 0
3683 1857 1
1710 1968 5
2641 7732 5
1684 2499 4
9869 8583 3
9692 7640 5
5012 3810 3
4835 1663 3
5897 8677 2
134 7553 3
8878 2286 4
2734 8075 5
712 6984 6
7792 6504 3
4055 8913 0
4473 84 3
1122 6053 0
1822 9750 1
3917 4006 3
2197 7505 4
357 6599 3
1898 985 6
1084 592 0
8996 9855 6
5338 7342 1
9795 742 0
5506 6767 6
9793 8505 3
3609 3924 2
9465 2239 5
4209 5492 0
8175 1036 3
3647 5618 2
6727 5712 1
1909 7841 5
9090 9034 5
6286 3523 2
1344 2736 1
5416 5893 3
971 844 6
9285 6200 2
285 8325 3
5668 6 6
4008 4541 1
5536 1980 2
470 5384 5
328 7936 2
700 7523 2
1411 6040 5
1504 3483 3
6141 2670 2
506 9088 2
5107 8266 5
2678 4199 4
4155 5191 2
9832 858 6
8917 8290 5
1707 8234 1
1462 9402 0
3426 9095 1
8314 350 1
5279 7776 6
6879 2301 6
5676 3164 0
2570 6038 1
144 6561 5
8200 643 2
8061 2647 3
9808 9290 1
979 2618 6
4007 2284 5
9977 5675 0
8709 3371 5
6339 6336 1
1501 6034 6
1358 1436 0
2897 8504 3
4202 3105 6
5032 65 0
4481 5579 0
1727 1771 2
382 6140 1
8488 5319 3
5513 8259 5
2271 3283 3
7038 3012 6
1759 3501 5
8733 5059 1
7649 6595 4
4541 416 5
1052 565 4
138 3310 2
5055 3787 1
8222 6439 1
6648 6804 2
9368 1441 3
2668 9974 3
5137 633 0
5745 8018 5
2974 9252 6
8956 5524 1
5581 8144 5
9334 5296 4
5027 1205 2
4291 1641 4
6191 2471 1
3700 217 0
1943 4624 5
1505 1157 2
7666 9275 0
7632 9789 5
2145 6003 6
1901 8326 5
1184 9649 5
405 4346 3
8970 4336 0
9793 1323 2
8856 5896 4
7776 5692 4
5290 3795 6
7350 8315 5
9361 3760 2
8729 2534 2
8082 6806 4
5584 790 1
9182 9066 2
6388 9425 4
5610 6450 4
8621 5193 4
6754 4593 6
280 5638 2
7420 4345 6
3865 4696 5
390 2632 1
7839 183 6
2129 6753 4
8613 600 6
5145 9861 2
8318 8963 1
4907 9554 4
617 1211 5
2264 5966 1
9942 698 6
1155 7587 4
3158 4464 0
8510 946 6
8380 3165 3
3540 7297 6
4464 3194 5
270 2715 0
1206 2106 5
4696 8833 2
9067 415 2
175 6354 5
4919 3079 2
6321 7592 6
2197 3509 0
71 658 3
6859 7997 2
1899 4120 4
2036 6984 5
1915 3953 4
741 199 3
4208 6844 6
9681 4879 3
7207 5259 2
3849 4075 5
124 7607 1
2884 128 4
3145 481 3
149 4168 3
307 6793 5
1105 1697 3
5955 6641 5
6133 2097 0
736 9555 6
1954 930 4
9904 279 0
4870 1754 4
2176 6701 1
8086 4231 1
9975 260 4
8938 6657 3
9438 8981 5
5242 4618 5
5631 4061 3
8781 990 2
8672 1563 1
502 6928 5
4898 1447 4
8406 2222 6
5794 3577 6
8683 1547 3
485 6464 6
337 6653 1
8130 5255 3
4858 2512 4
3318 3201 2
1276 1506 5
684 5023 2
6312 8250 0
311 6850 1
5488 1520 5
183 4798 4
8848 6784 5
2187 4462 0
8258 6859 2
4016 8172 5
4441 7683 2
2015 3976 1
8298 39 0
3205 9997 5
5769 3675 0
9387 5020 3
7442 1735 0
373 3480 5
777 786 2
1785 522 5
979 6085 5
935 9735 6
2186 6096 5
2085 4752 3
9260 1982 0
7688 9919 2
6792 7065 0
4198 1496 3
1011 976 1
2121 3202 0
6702 8564 4
2572 2257 4
1920 1654 4
1080 7298 4
3960 510 2
5867 2033 2
2136 499 2
5790 4376 1
272 703 4
967 9515 1
3495 3566 4
4186 8437 4
2626 8364 0
1665 8908 5
1360 2814 0
8012 9752 6
8706 2525 5
9249 3179 6
8313 8838 2
8421 4145 6
1969 1839 4
6565 3762 6
3681 1970 5
7053 2708 5
6715 4429 0
7689 4663 4
5541 6259 4
3572 2514 4
5988 8170 0
2199 655 0
3444 2936 3
9406 9427 2
7523 2371 3
7073 3461 3
9934 1102 2
1417 1463 0
6126 595 4
9213 2406 0
3859 3305 5
4833 4223 1
7879 519 1
7793 1585 3
1371 5444 6
7271 4087 1
6519 8596 3
7552 2492 4
8257 7590 4
3357 886 4
5865 5686 1
259 2313 6
1028 4101 3
2869 456 4
7578 6074 6
843 1274 2
5024 511 0
5722 8971 5
4095 8174 5
2183 6658 5
5722 6983 1
9503 2232 3
5590 1480 6
5505 2702 3
9818 557 0
4120 5028 3
5713 3332 6
7182 6467 1
7358 1074 4
9094 4983 0
7264 9714 6
4390 425 5
3163 1467 3
4231 2619 3
4718 6128 5
4720 9079 3
3766 7587 5
2126 4825 2
7518 3220 4
1314 5456 4
9156 134 0
751 6208 6
2294 2589 3
7976 9694 2
189 9372 6
301 1702 1
523 6539 1
1827 6637 3
7416 1827 0
7623 4899 2
415 3644 4
3669 378 1
7858 7952 4
7137 5915 0
4616 7288 2
8074 333 2
1056 5656 4
9616 4524 5
7442 1984 0
7049 3396 1
8582 202 1
5416 665 6
8759 2755 0
2844 3554 4
6824 1999 2
121 5733 4
9917 5793 5
2060 1175 2
5985 2501 3
3208 7395 1
6720 6291 5
929 9072 2
193 8 4
922 876 3
816 3803 6
7912 2289 5
9979 7299 2
2902 7602 6
654 2729 4
2438 2274 4
6463 8134 5
4348 6453 4
2307 5518 0
7437 695 5
661 3144 5
961 1907 3
3472 645 1
2972 628 4
6811 5535 1
1229 3716 5
4956 6158 6
4620 3296 5
3120 4526 5
8983 3445 5
1691 6588 4
664 8104 3
353 2942 1
623 4852 1
7611 7842 2
1149 135 3
146 7328 6
7804 1741 4
9381 2779 3
83 692 4
7312 6099 1
1047 2405 2
7569 9959 1
2139 1228 0
2471 1778 0
8456 2148 2
4745 6125 0
4698 5616 2
4815 6064 0
9472 7479 0
2482 3005 0
5333 1105 0
732 5638 1
1064 4518 6
5032 7508 1
3438 3978 0
8245 4059 5
744 7362 3
1049 6518 3
558 2143 3
5603 9190 3
1226 3603 1
1300 1768 3
1347 5396 2
5230 1665 0
2000 3617 4
786 668 6
1579 6224 4
6260 2158 3
3267 9312 6
452 5169 1
1570 8211 3
6890 1711 6
4750 8960 6
4767 1754 1
8217 4565 3
2088 273 1
7579 837 1
9269 1886 5
809 4640 6
8319 9881 0
3020 1411 0
5893 1984 5
2999 336 6
5950 1457 2
365 2334 5
9094 8592 1
119 3017 4
5253 6117 0
9160 1505 6
4591 6562 6
4854 72 4
3016 5050 2
1945 1852 6
2521 8061 2
259 8366 1
4439 2718 0
5268 3554 4
7432 3799 2
6735 1098 6
3916 6182 3
5316 3059 3
4583 2399 1
8357 70 4
2342 7780 3
406 8295 4
2403 8252 3
3035 7285 1
6678 5960 3
949 2364 2
7626 7157 0
4841 8938 1
7096 1033 6
9768 7873 3
9109 96 4
1561 5739 5
5923 8499 1
1849 5442 3
6850 8287 0
2769 9223 6
6467 2083 5
1158 5606 5
9463 920 5
5758 9685 0
229 9298 5
5470 3175 4
1683 9988 3
2946 2190 1
2469 5519 5
6197 8545 2
7158 4058 5
3791 3341 1
8900 3232 5
9736 7438 4
580 7085 5
5284 5253 0
285 2426 0
4536 3281 4
6549 1348 5
6199 6835 3
8137 8351 3
7617 5233 2
7376 5529 0
1044 342 3
0 7528 4
2634 4999 5
9240 581 1
5941 7131 6
1539 9299 4
4099 4363 1
4726 201 5
4083 7389 1
2024 8895 3
6170 1483 3
8392 8752 5
9773 7740 6
4468 2070 1
30 5756 6
3114 2980 2
2358 8124 2
5311 6667 3
5928 7590 5
4580 3870 1
5412 4000 4
8275 84 5
7911 106 5
8644 3826 0
7366 1592 5
8838 5865 3
3947 7446 3
1052 5771 4
1110 2057 5
6250 2670 6
3925 1148 1
5774 7043 0
5536 6763 3
1858 3934 0
2061 2655 0
1174 582 3
2082 4024 5
1575 9337 4
1300 9424 2
537 2695 3
8629 2851 3
794 1744 6
75 6071 1
1884 4819 1
7195 5158 0
845 5374 1
1156 4820 3
9766 7222 4
553 6271 4
9389 7625 0
3128 2039 1
394 8490 3
8054 5517 0
2530 2618 5
4056 2990 0
9743 6439 0
1493 1927 3
393 1033 3
3592 1135 0
5842 9080 3
4961 8717 3
5920 3245 4
121 7782 3
7006 6491 6
4615 2195 4
1763 4771 2
4935 9217 2
5881 3467 2
6952 7322 1
8230 429 4
7699 4153 3
1794 5041 4
8383 8720 2
388 4077 6
5202 8658 2
3753 2249 4
6575 8090 5
6823 1395 5
7205 1558 1
4287 1041 5
2530 6209 1
935 7043 1
5674 3902 1
3071 8775 1
6430 2794 6
1736 6890 3
2452 6754 3
7933 5188 5
1960 7945 4
542 4659 2
5943 5347 6
1389 1668 4
3198 2280 4
2707 1813 0
5447 9846 5
2182 2344 3
6448 5636 5
7549 3888 2
1825 9251 2
7639 2046 2
5775 7624 1
4985 103 6
377 6350 0
170 8494 0
2729 9726 1
9915 8672 5
5862 6421 3
1128 1465 0
259 4082 6
4986 1419 2
2140 8666 3
3485 5822 4
5161 1896 3
2150 8432 6
2361 4770 1
7165 5645 0
1810 2128 0
6621 3596 3
8514 799 5
5269 9552 0
471 6344 0
6382 7261 5
7151 666 6
